id,surname,name,patronymic,birthday
100001,Иванов,Иван,Иванович,2004-01-15
100002,Петров,Петр,Петрович,2003-03-20
100003,Сидоров,Сидр,Сидорович,2005-05-10
100004,Кузнецов,Антон,Андреевич,2002-07-25
100005,Смирнова,Ольга,,2001-09-30
100006,Васильев,Василий,Васильевич,2004-11-12
100007,Федоров,Федор,Федорович,2003-02-14
100008,Морозов,Дмитрий,Дмитриевич,2005-08-08
100009,Морозов,Алексей,Алексеевич,2004-12-01
100010,Зайцев,Захар,Захарович,2002-06-06
100011,Волков,Владимир,Владимирович,2001-04-16
100012,Козлов,Константин,2004-10-22
100013,Новиков,Николай,Николаевич,2005-01-01
100014,Григорьев,Георгий,,2002-03-15
100015,Тимофеев,Тимур,Тимофеевич,2004-07-07
100016,Жуков,Жан,,2001-12-12
100017,Жуков,Женя,,2003-08-18
163276,Крылов,Кирилл,Кириллович,2003-09-09
153285,Лисин,Павел,Олегович,2001-10-10
153286,Мельников,Роман,Павлович,2002-02-14
153290,Назаров,Семен,Павлович,2002-05-20
163249,Матвеев,Руслан,Петрович,2000-09-09
170000,Новиков,Степан,Андреевич,2004-12-12
180000,Осипова,Татьяна,,2002-07-07
190000,Ёлкин,Егор,Егорович,2001-06-06
200001,Соколов,Максим,Максимович,2003-03-03
200002,Соколов,Виталий,Витальевич,2005-05-05
210001,Белов,Иван,,2004-04-04
210002,Белов,Сергей,,2002-02-02
220001,Крылов,Денис,Денисович,2001-01-01
